,id,words,ner,task
477,420,"['Клинический', 'анализ', 'крови', ':', 'гемоглобин', '–', '126', 'г', '/', 'л', ';', 'эритроциты', '–', '4,2', '×', '1012', '/', 'л', ';', 'лейкоциты', '–', '10,9', '×', '10', '9', '/', 'л', ';', 'палочкоядерные', '–', '10%', ',', 'сегментоядерные', '–', '77%', ';', 'СОЭ', '–', '30', 'мм', '/', 'час', '.']","['O', 'O', 'O', 'O', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'O', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",293
480,670,"['Какие', 'симптомы', 'являются', 'обязательными', 'для', 'данного', 'заболевания', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",307
482,470,"['Укажите', 'комбинацию', 'лекарственных', 'препаратов', ',', 'сочетание', 'которых', 'усиливает', 'риск', 'брадикардии', 'и', 'АВ-блокады', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",295
483,759,"['В', 'лѐгких', 'дыхание', 'везикулярное', ',', 'хрипов', 'нет', '.']","['O', 'O', 'PHY', 'PHY', 'O', 'PHY', 'PHY', 'O']",313
487,641,"['Состояние', 'средней', 'тяжести', ',', 'слева', 'над', 'проекцией', 'нижней', 'доли', 'определяется', 'крепитация', ',', 'частота', 'дыхательных', 'движений', '(', 'ЧДД', ')', '–', '26', 'в', 'минуту', ',', 'АД', '–', '110', '/', '70', 'мм', 'рт', '.']","['O', 'O', 'O', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY']",306
489,99,"['27', 'лет', 'обратился', 'к', 'врачу-терапевту', 'участковому', 'на', '2', 'день', 'болезни', 'с', 'жалобами', 'на', 'сильную', 'головную', 'боль', 'в', 'лобной', 'области', ',', 'боли', 'в', 'глазных', 'яблоках', ',', 'мышцах', 'и', 'суставах', ',', 'общую', 'слабость', ',', 'отсутствие', 'аппетита', ',', 'частый', 'сухой', 'кашель', ',', 'заложенность', 'носа', 'и', 'незначительные', 'выделения', 'из', 'носа', ',', 'чувство', 'першения', 'и', 'царапанье', 'за', 'грудиной', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT', 'O', 'PAT', 'O', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",277
490,588,"['Анализ', 'крови', ':', 'Нв', '–', '110', 'г', '/', 'л', ',', 'лейкоциты', '–', '5,4', '×', '10', '9', '/', 'л', ',', 'СОЭ', '–', '12', 'мм', '/', 'ч', '.']","['O', 'O', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'O', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'O']",303
492,227,"['Пульс', '–', '94', 'уд', '/', 'мин', ',', 'ритмичный', ',', 'удовлетворительного', 'наполнения', '.']","['PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PHY', 'O', 'PHY', 'PHY', 'O']",283
500,616,"['С', 'какими', 'заболеваниями', 'проводится', 'дифференциальный', 'диагноз', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O']",304
508,197,"['В', 'лѐгких', 'при', 'аускультации', 'жѐсткое', 'дыхание', ',', 'хрипы', 'не', 'выслушиваются', '.']","['O', 'O', 'O', 'O', 'PAT', 'PAT', 'O', 'PHY', 'PHY', 'PHY', 'O']",281
509,151,"['Отмечал', 'светобоязнь', ',', 'лежал', 'с', 'закрытыми', 'глазами', ',', 'просил', 'выключить', 'телевизор', '.']","['PAT', 'PAT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",279
516,718,"['ЭКГ', ':', 'ритм', 'синусовый', ',', 'смещение', 'сегмента', 'SТ', 'в', 'I', 'и', 'II', 'отведениях', 'ниже', 'изолинии', ',', 'сливается', 'с', 'зубцом', 'Т', ',', 'в', 'III', 'отведении', 'сегмент', 'SТ', 'ниже', 'изолинии', ',', 'патологический', 'зубец', 'Q', 'не', 'выявляется', '.']","['O', 'O', 'PHY', 'PHY', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'O']",310
521,122,"['с', 'жалобами', 'на', 'плохой', 'аппетит', ',', 'ноющие', 'боли', 'в', 'правом', 'подреберье', ',', 'потемнение', 'мочи', ',', 'желтушную', 'окраску', 'кожи', 'и', 'склер', '.']","['O', 'O', 'O', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'PAT', 'O', 'PAT', 'O']",278
527,515,"['СЗ_Лечебное', 'дело', '(', 'ч', '.4', ')', '–', '2017', '366', 'СИТУАЦИОННАЯ', 'ЗАДАЧА', '299', '[', 'K002694', ']', 'Инструкция', ':', 'ОЗНАКОМЬТЕСЬ', 'С', 'СИТУАЦИЕЙ', 'И', 'ДАЙТЕ', 'РАЗВЕРНУТЫЕ', 'ОТВЕТЫ', 'НА', 'ВОПРОСЫ', 'Основная', 'часть', 'Больной', '24', 'лет', 'жалуется', 'на', 'сильные', 'головные', 'боли', ',', 'боли', 'при', 'глотании', ',', 'иррадиирующие', 'в', 'оба', 'уха', ',', 'боли', 'в', 'суставах', 'конечностей', 'и', 'пояснице', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",299
529,154,"['При', 'поступлении', 'состояние', 'тяжѐлое', ',', 'сознание', 'затемнено', '.']","['O', 'O', 'O', 'O', 'O', 'PAT', 'PAT', 'O']",279
544,393,"['Биохимический', 'анализ', 'крови', ':', 'АЛТ', '–', '58', 'ед', '/', 'л', ';', 'АСТ', '–', '100', 'ед', '/', 'л', ';', 'креатинин', '–', '115', 'мкмоль', '/', 'л', ';', 'фибриноген', '–', '8', 'г', '/', 'л', '.']","['O', 'O', 'O', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",292
546,286,"['Установите', 'предварительный', 'диагноз', 'на', 'основании', 'полученных', 'данных', ',', 'с', 'учѐтом', 'синдромального', 'подхода', ',', 'и', 'обоснуйте', 'его', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",287
551,50,"['Бисопролол', 'также', 'обладает', 'отрицательным', 'инотропным', 'действием', ',', 'будет', 'ли', 'латентная', 'сердечная', 'недостаточность', 'противопоказанием', 'к', 'применению', 'Бисопролола', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",273
557,532,"['В', 'лѐгких', 'дыхание', 'везикулярное', ',', 'хрипов', 'нет', '.']","['O', 'O', 'PHY', 'PHY', 'O', 'PHY', 'PHY', 'O']",300
560,589,"['Общий', 'анализ', 'мочи', ':', 'относительная', 'плотность', '1,008', 'г', '/', 'л', ',', 'белок', '–', '0,066', 'г', '/', 'л', ',', 'лейкоциты', '–', '3', '–', '4', 'в', 'поле', 'зрения', ',', 'цилиндры', '–', 'до', '15', 'в', 'поле', 'зрения', ',', 'кристаллы', 'мочевой', 'кислоты', '.']","['O', 'O', 'O', 'O', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'O', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'O', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'PAT', 'O']",303
562,152,"['Вечером', 'была', 'дважды', 'рвота', ',', 'сохранялась', '«', 'пульсирующая', '»', 'головная', 'боль', '.']","['O', 'O', 'O', 'PAT', 'O', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",279
564,349,"['Правильно', 'ли', 'назначена', 'комбинация', 'бета', '-', 'блокатор', 'и', 'диуретик', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",290
574,232,"['44', 'лет', 'предъявляет', 'жалобы', 'на', 'головную', 'боль', ',', 'боль', 'в', 'глазных', 'яблоках', ',', 'ломоту', 'в', 'теле', ',', 'повышение', 'температуры', 'тела', 'до', '39', '°', 'С', ',', 'сухой', 'кашель', ',', 'заложенность', 'носа', '.']","['O', 'O', 'O', 'O', 'PAT', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'O']",284
577,184,"['Состояние', 'и', 'самочувствие', 'хорошее', '.']","['O', 'O', 'O', 'O', 'O']",280
578,471,"['Перечислите', 'методы', 'контроля', 'безопасности', 'фармакотерапии', '.']","['O', 'O', 'O', 'O', 'O', 'O']",295
589,508,"['Клинический', 'анализ', 'крови', ':', 'лейкоциты', '–', '10,8', '×', '10', '9', '/', 'л', '.']","['O', 'O', 'O', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",298
591,781,"['Какие', 'методы', 'исследования', 'необходимы', 'в', 'данном', 'случае', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",314
592,477,"['В', 'течение', 'последующих', '3', 'дней', 'появились', 'жалобы', 'на', 'сухой', 'кашель', ',', 'боли', 'и', 'тяжесть', 'в', 'правой', 'половине', 'грудной', 'клетки', ',', 'температура', 'в', 'пределах', '38', '–', '38,7', '°', 'С', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",296
599,369,"['Микроальбуминурия', ':', '25', 'мг', '/', 'сут', 'ЭКГ', ':', 'ритм', 'синусовый', ',', 'признаки', 'гипертрофии', 'миокарда', 'ЛЖ', ',', 'очаговых', 'изменений', 'нет', '.']","['PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'O', 'O', 'PHY', 'PHY', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PHY', 'PHY', 'PHY', 'O']",291
607,140,"['Поколачивание', 'по', 'поясничной', 'области', 'отрицательное', 'с', 'обеих', 'сторон', '.']","['PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'O']",278
609,647,"['Поставьте', 'наиболее', 'вероятный', 'диагноз', '.']","['O', 'O', 'O', 'O', 'O']",306
622,10,"['Голос', 'имеет', 'гнусавый', 'оттенок', ',', 'открывание', 'рта', 'затруднено', '.']","['PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'PAT', 'O']",270
623,107,"['На', 'теле', 'сыпи', 'нет', '.']","['PHY', 'PHY', 'PHY', 'PHY', 'O']",277
629,742,"['Брат', 'больного', 'умер', 'внезапно', 'в', 'молодом', 'возрасте', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",312
632,431,"['Составьте', 'и', 'обоснуйте', 'план', 'дополнительного', 'обследования', 'пациента', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",293
636,702,"['ЭКГ', ':', 'правограмма', ',', 'глубокий', 'зубец', 'S', 'в', 'I', 'отведении', ',', 'зубец', 'Q', 'в', 'III', 'отведении', ',', 'глубиной', '1', '/', '3', 'зубца', 'R', 'и', 'продолжительностью', '0,02', 'секунды', '.']","['O', 'O', 'PAT', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",309
637,281,"['Пальпация', 'в', 'проекции', 'этого', 'образования', 'безболезненная', '.']","['PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'O']",287
643,379,"['Обратился', 'в', 'поликлинику', 'к', 'врачу-терапевту', 'участковому', 'с', 'жалобами', 'на', 'повышение', 'температуры', 'до', '38,0', 'ºС', ',', 'кашель', 'с', 'обильной', 'слизисто-гнойной', 'мокротой', ',', 'неинтенсивные', 'боли', 'в', 'грудной', 'клетке', 'при', 'кашле', ',', 'головную', 'боль', ',', 'слабость', ',', 'в', 'конечностях', ',', 'потливость', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT', 'O']",292
645,569,"['Тоны', 'сердца', 'ясные', ',', 'ритмичные', '.']","['PHY', 'PHY', 'PHY', 'O', 'PHY', 'O']",302
648,403,"['Какова', 'Ваша', 'дальнейшая', 'лечебная', 'тактика', '?']","['O', 'O', 'O', 'O', 'O', 'O']",292
651,468,"['Оцените', 'адекватность', 'выбранной', 'диуретической', 'терапии', 'тяжести', 'состояния', 'пациента', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",295
656,180,"['Обоснуйте', 'поставленный', 'Вами', 'диагноз', '.']","['O', 'O', 'O', 'O', 'O']",280
658,259,"['18', 'лет', 'вызвал', 'врача', 'на', 'дом', 'по', 'поводу', 'жалоб', 'на', 'слабость', ',', 'повышенную', 'температуру', 'тела', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'PAT', 'O']",286
661,734,"['При', 'аускультации', 'сердца', 'ритм', 'правильный', ',', '88', 'в', 'минуту', ',', 'хлопающий', '1', 'тон', 'и', 'щелчок', 'открытия', 'митрального', 'клапана', 'на', 'верхушке', ',', 'акцент', '2', 'тона', 'на', 'лѐгочной', 'артерии', ',', 'диастолический', 'шум', 'с', 'пресистолическим', 'усилением', 'на', 'верхушке', 'и', 'в', '5', 'точке', '.']","['O', 'O', 'O', 'PHY', 'PHY', 'O', 'PHY', 'PHY', 'PHY', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",311
662,0,"['СЗ_Лечебное', 'дело', '(', 'ч', '.4', ')', '–', '2017', '334', 'СИТУАЦИОННЫЕ', 'ЗАДАЧИ', '(', 'часть', '4', ')', 'для', 'первичной', 'аккредитации', 'выпускников', ',', 'завершающих', 'в', '2017', 'году', 'подготовку', 'по', 'образовательной', 'программе', 'высшего', 'медицинского', 'образования', 'в', 'соответствии', 'с', 'федеральным', 'государственным', 'образовательным', 'стандартом', 'по', 'специальности', '«', 'Лечебное', 'дело', '»', 'СИТУАЦИОННАЯ', 'ЗАДАЧА', '270', '[', 'K000058', ']', 'Инструкция', ':', 'ОЗНАКОМЬТЕСЬ', 'С', 'СИТУАЦИЕЙ', 'И', 'ДАЙТЕ', 'РАЗВЕРНУТЫЕ', 'ОТВЕТЫ', 'НА', 'ВОПРОСЫ', 'Основная', 'часть', 'Больная', '39', 'лет', 'обратилась', 'в', 'поликлинику', 'с', 'жалобами', 'на', 'боли', 'в', 'горле', 'при', 'глотании', ',', 'першение', ',', 'повышение', 'температуры', 'тела', 'до', '37,5', 'ºС', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",270
666,376,"['Какова', 'Ваша', 'дальнейшая', 'лечебная', 'тактика', '?']","['O', 'O', 'O', 'O', 'O', 'O']",291
670,575,"['С', 'какими', 'заболеваниями', 'следует', 'провести', 'дифференциальный', 'диагноз', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",302
672,756,"['Больна', 'в', 'течение', '5', 'лет', '.']","['O', 'O', 'O', 'O', 'O', 'O']",313
675,482,"['Общий', 'анализ', 'крови', '(', '7.03', ')', ':', 'Нb', '–', '145', 'г', '/', 'л', ',', 'лейкоциты', '–', '18', '×', '10', '9', '/', 'л', ',', 'эритроциты', '–', '4,5', '×', '1012', '/', 'л', ',', 'тромбоциты', '–', '240', '×', '10', '9', '/', 'л', ',', 'палочкоядерные', '–', '12%', ',', 'лимфациты', '–', '20%', ',', 'нейтрофилы', '–', '74%', ',', 'эозинофилы', '–', '1%', ',', 'моноциты', '–', '3%', ',', 'СОЭ', '–', '25', 'мм', '/', 'ч', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'O', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'O', 'PAT', 'PAT', 'PAT', 'O', 'PHY', 'PHY', 'PHY', 'O', 'PHY', 'PHY', 'PHY', 'O', 'PHY', 'PHY', 'PHY', 'O', 'PHY', 'PHY', 'PHY', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",296
701,14,"['Как', 'вы', 'можете', 'оценить', 'подобную', 'ситуацию', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O']",270
708,540,"['Каков', 'наиболее', 'вероятный', 'диагноз', '?']","['O', 'O', 'O', 'O', 'O']",300
712,602,"['Настоящее', 'ухудшение', 'в', 'течение', '2', 'месяцев', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O']",304
726,642,"['Ритм', 'правильный', ',', '96', 'в', 'минуту', '.']","['PHY', 'PHY', 'O', 'PAT', 'PAT', 'PAT', 'O']",306
733,375,"[',', 'мочевая', 'кислота', '–', '300', 'мкмоль', '/', 'л', ',', 'креатинин', '–', '78', 'мкмоль', '/', 'л', ';', 'альбуминурия', '–', '0', 'мг', '/', 'сутки', '.']","['O', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'O', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'O', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'O']",291
735,240,"['Препараты', 'какой', 'фармакологической', 'группы', 'Вы', 'бы', 'рекомендовали', 'пациентке', 'в', 'качестве', 'этиотропной', 'терапии', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",284
736,433,"['Проведите', 'стратификацию', 'тяжести', 'заболевания', 'и', 'факторов', 'риска', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",293
754,306,"['Дайте', 'этиологическую', 'характеристику', 'возбудителю', ',', 'предположительно', 'вызвавшему', 'заболевание', ',', 'назовите', 'источники', 'инфекции', 'и', 'пути', 'заражения', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",288
755,331,"['Рост', '158', 'см', ',', 'вес', '91', 'кг', '.']","['PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",290
756,597,"['24', 'лет', 'жалуется', 'на', 'головную', 'боль', ',', 'слабость', ',', 'боли', 'в', 'суставах', '.']","['O', 'O', 'O', 'O', 'PAT', 'PAT', 'O', 'PAT', 'O', 'PAT', 'PAT', 'PAT', 'O']",304
761,102,"['Ночью', 'не', 'спал', ',', 'озноб', 'сменялся', 'чувством', 'жара', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'PAT', 'PAT', 'O']",277
763,157,"['На', 'коже', 'живота', ',', 'ягодиц', 'и', 'нижних', 'конечностей', 'мелкая', 'звѐздчатая', 'сыпь', 'сине-фиолетового', 'цвета', ',', 'имеются', 'также', 'петехиальные', 'элементы', 'на', 'руках', '.']","['O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'O', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",279
768,143,"['Предположите', 'наиболее', 'вероятный', 'диагноз', '.']","['O', 'O', 'O', 'O', 'O']",278
769,318,"['Выявлена', 'небольшая', 'гиперемия', 'и', 'сухость', 'мягкого', 'нѐба', ',', 'задней', 'стенки', 'глотки', ',', 'миндалины', 'увеличены', ',', 'несколько', 'отѐчны', ',', 'отмечается', 'гиперплазия', 'лимфоидных', 'фолликулов', '.']","['O', 'O', 'PAT', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'O', 'O', 'PAT', 'PAT', 'PAT', 'O']",289
774,221,"['Какова', 'тактика', 'врача-терапевта', 'участкового', '?']","['O', 'O', 'O', 'O', 'O']",282
775,630,"['Поставьте', 'наиболее', 'вероятный', 'диагноз', '.']","['O', 'O', 'O', 'O', 'O']",305
